nr,filename,name,type,tapered_type,shape,shape_type,exact_stock_shape,diameter_mm,cutting_edge_height_mm,length_mm,shank_diameter_mm,flutes,angle_half_deg,included_angle_deg,tip_diameter_mm,tip_radius_mm,drill_point_angle_deg,product_id,description
61,3.175mm_Flat_End_SC05A_N2FLX3.32.fctb,3.175mm Flat End [SC05A (N2FLX3.32)],flat end mill,,endmill.fcstd,Endmill,True,3.175,32.0,65,3.175,2,,,,,,SC05A (N2FLX3.32),"Genmitsu flat end compression [SC05A (N2FLX3.32)], Nano Blue Coat"
62,3.175mm_Flat_End_SC05A_N2FLX3.28.fctb,3.175mm Flat End [SC05A (N2FLX3.28)],flat end mill,,endmill.fcstd,Endmill,True,3.175,28.0,60,3.175,2,,,,,,SC05A (N2FLX3.28),"Genmitsu flat end compression [SC05A (N2FLX3.28)], Nano Blue Coat"
63,3.175mm_Flat_End_SC05A_N2FLX3.25.fctb,3.175mm Flat End [SC05A (N2FLX3.25)],flat end mill,,endmill.fcstd,Endmill,True,3.175,25.0,55,3.175,2,,,,,,SC05A (N2FLX3.25),"Genmitsu flat end compression [SC05A (N2FLX3.25)], Nano Blue Coat"
64,3.175mm_Flat_End_SC05A_N2FLX3.15.fctb,3.175mm Flat End [SC05A (N2FLX3.15)],flat end mill,,endmill.fcstd,Endmill,True,3.175,15.0,40,3.175,2,,,,,,SC05A (N2FLX3.15),"Genmitsu flat end compression [SC05A (N2FLX3.15)], Nano Blue Coat"
65,3.175mm_Flat_End_SC05A_N2FLX3.12.fctb,3.175mm Flat End [SC05A (N2FLX3.12)],flat end mill,,endmill.fcstd,Endmill,True,3.175,12.0,40,3.175,2,,,,,,SC05A (N2FLX3.12),"Genmitsu flat end compression [SC05A (N2FLX3.12)], Nano Blue Coat"
66,25.400mm_Flat_End_RB03A.fctb,25.400mm Flat End [RB03A],flat end mill,,endmill.fcstd,Endmill,True,25.4,5.0,40,6.35,3,,,,,,RB03A,Genmitsu flat end surfacing [RB03A]
67,0.100mm_Drill_PD30A.fctb,0.100mm Drill [PD30A],drill,,drill.fcstd,Drill,True,0.1,2.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
68,0.200mm_Drill_PD30A.fctb,0.200mm Drill [PD30A],drill,,drill.fcstd,Drill,True,0.2,3.5,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
69,0.300mm_Drill_PD30A.fctb,0.300mm Drill [PD30A],drill,,drill.fcstd,Drill,True,0.3,5.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
70,0.400mm_Drill_PD30A.fctb,0.400mm Drill [PD30A],drill,,drill.fcstd,Drill,True,0.4,6.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
71,0.500mm_Drill_PD30A.fctb,0.500mm Drill [PD30A],drill,,drill.fcstd,Drill,True,0.5,6.5,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
72,0.600mm_Drill_PD30A.fctb,0.600mm Drill [PD30A],drill,,drill.fcstd,Drill,True,0.6,9.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
73,0.700mm_Drill_PD30A.fctb,0.700mm Drill [PD30A],drill,,drill.fcstd,Drill,True,0.7,9.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
74,0.800mm_Drill_PD30A.fctb,0.800mm Drill [PD30A],drill,,drill.fcstd,Drill,True,0.8,9.5,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
75,0.900mm_Drill_PD30A.fctb,0.900mm Drill [PD30A],drill,,drill.fcstd,Drill,True,0.9,9.5,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
76,1.000mm_Drill_PD30A.fctb,1.000mm Drill [PD30A],drill,,drill.fcstd,Drill,True,1.0,9.5,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
77,1.100mm_Drill_PD30A.fctb,1.100mm Drill [PD30A],drill,,drill.fcstd,Drill,True,1.1,9.5,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
78,1.200mm_Drill_PD30A.fctb,1.200mm Drill [PD30A],drill,,drill.fcstd,Drill,True,1.2,9.5,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
79,1.300mm_Drill_PD30A.fctb,1.300mm Drill [PD30A],drill,,drill.fcstd,Drill,True,1.3,9.5,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
80,1.400mm_Drill_PD30A.fctb,1.400mm Drill [PD30A],drill,,drill.fcstd,Drill,True,1.4,9.5,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
81,1.500mm_Drill_PD30A.fctb,1.500mm Drill [PD30A],drill,,drill.fcstd,Drill,True,1.5,9.5,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
82,1.600mm_Drill_PD30A.fctb,1.600mm Drill [PD30A],drill,,drill.fcstd,Drill,True,1.6,10.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
83,1.700mm_Drill_PD30A.fctb,1.700mm Drill [PD30A],drill,,drill.fcstd,Drill,True,1.7,10.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
84,1.800mm_Drill_PD30A.fctb,1.800mm Drill [PD30A],drill,,drill.fcstd,Drill,True,1.8,10.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
85,1.900mm_Drill_PD30A.fctb,1.900mm Drill [PD30A],drill,,drill.fcstd,Drill,True,1.9,10.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
86,2.000mm_Drill_PD30A.fctb,2.000mm Drill [PD30A],drill,,drill.fcstd,Drill,True,2.0,10.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
87,2.100mm_Drill_PD30A.fctb,2.100mm Drill [PD30A],drill,,drill.fcstd,Drill,True,2.1,10.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
88,2.200mm_Drill_PD30A.fctb,2.200mm Drill [PD30A],drill,,drill.fcstd,Drill,True,2.2,10.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
89,2.300mm_Drill_PD30A.fctb,2.300mm Drill [PD30A],drill,,drill.fcstd,Drill,True,2.3,10.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
90,2.400mm_Drill_PD30A.fctb,2.400mm Drill [PD30A],drill,,drill.fcstd,Drill,True,2.4,10.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
91,2.500mm_Drill_PD30A.fctb,2.500mm Drill [PD30A],drill,,drill.fcstd,Drill,True,2.5,10.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
92,2.600mm_Drill_PD30A.fctb,2.600mm Drill [PD30A],drill,,drill.fcstd,Drill,True,2.6,10.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
93,2.700mm_Drill_PD30A.fctb,2.700mm Drill [PD30A],drill,,drill.fcstd,Drill,True,2.7,10.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
94,2.800mm_Drill_PD30A.fctb,2.800mm Drill [PD30A],drill,,drill.fcstd,Drill,True,2.8,10.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
95,2.900mm_Drill_PD30A.fctb,2.900mm Drill [PD30A],drill,,drill.fcstd,Drill,True,2.9,10.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
